Year,County,Category,PerUnit,Species,AvgPrice,MinPrice,MaxPrice,NumReports
2000,cumberland,sawlogs,MBF,Beech,48,25,100,21
2000,cumberland,sawlogs,MBF,Hemlock,63,20,100,64
2000,cumberland,sawlogs,MBF,Mixed Hardwood,147,20,304,11
2000,cumberland,sawlogs,MBF,Red Oak,285,60,750,66
2000,cumberland,sawlogs,MBF,Red Pine,45,24,65,15
2000,cumberland,sawlogs,MBF,Red/White Maple,65,15,200,32
2000,cumberland,sawlogs,MBF,Spruce & Fir,163,65,180,24
2000,cumberland,sawlogs,MBF,Sugar Maple,226,60,312,15
2000,cumberland,sawlogs,MBF,White Birch,105,21.75,215,44
2000,cumberland,sawlogs,MBF,White Oak,232,20,300,12
2000,cumberland,sawlogs,MBF,White Pine,175,40,250,106
2000,cumberland,sawlogs,MBF,Yellow Birch,104,47,240,14
2000,cumberland,veneer,MBF,Red Oak,798,220,"1,100.00",31
2000,franklin,boltwood,cord,Ash,42,14,52,10
2000,franklin,boltwood,cord,Red/White Maple,36,15,57,8
2000,franklin,boltwood,cord,Sugar Maple,47,35,75,9
2000,franklin,boltwood,cord,White Birch,56,30,75,25
2000,franklin,boltwood,cord,Yellow Birch,46,35,65,7
2000,franklin,pulpwood,cord,Aspen/Poplar,15,1.8,24.92,27
2000,franklin,pulpwood,cord,Hemlock,17,5,26.57,11
2000,franklin,pulpwood,cord,Mixed Softwoods,8,5,27.6,5
2000,franklin,pulpwood,cord,Other Hardwood,10,5,23.07,46
2000,franklin,pulpwood,cord,Spruce & Fir,21,5.39,29,33
2000,franklin,pulpwood,cord,White Pine,9,5,17.71,19
2000,franklin,sawlogs,MBF,Ash,97,60,160,17
2000,franklin,sawlogs,MBF,Aspen/Poplar,60,19,97.33,20
2000,franklin,sawlogs,MBF,Hemlock,71,40,100.48,16
2000,franklin,sawlogs,MBF,Mixed Hardwood,134,30,200,13
2000,franklin,sawlogs,MBF,Red Oak,283,88,350,13
2000,franklin,sawlogs,MBF,Red/White Maple,49,30,130,17
2000,franklin,sawlogs,MBF,Spruce & Fir,126,53,189.98,40
2000,franklin,sawlogs,MBF,Sugar Maple,115,50,260,18
2000,franklin,sawlogs,MBF,White Birch,162,53,190,20
2000,franklin,sawlogs,MBF,White Pine,159,72.5,247.48,33
2000,franklin,sawlogs,MBF,Yellow Birch,115,53,300,20
2000,franklin,veneer,MBF,Aspen/Poplar,97,50,115.93,9
2000,franklin,veneer,MBF,Red Oak,563,400,750,7
2000,franklin,veneer,MBF,Sugar Maple,983,270,"1,410.42",10
2000,franklin,veneer,MBF,White Birch,642,119,715.27,7
2000,franklin,veneer,MBF,Yellow Birch,393,250,690,8
2000,hancock,boltwood,cord,Cedar,17,7,30,11
2000,hancock,boltwood,cord,White Birch,46,23.75,60,12
2000,hancock,boltwood,cord,Yellow Birch,38,17.5,60,4
2000,hancock,pulpwood,cord,Aspen/Poplar,9,3.6,25,23
2000,hancock,pulpwood,cord,Hemlock,14,5.76,25.5,13
2000,hancock,pulpwood,cord,Other Hardwood,9,5,17.5,33
2000,hancock,pulpwood,cord,Spruce & Fir,28,4.2,47.04,73
2000,hancock,pulpwood,cord,White Pine,8,4.3,12.9,10
2000,hancock,sawlogs,MBF,Ash,149,50,180,5
2000,hancock,sawlogs,MBF,Aspen/Poplar,61,30,80,7
2000,hancock,sawlogs,MBF,Hemlock,50,35,60,5
2000,hancock,sawlogs,MBF,Mixed Hardwood,91,45.8,150,8
2000,hancock,sawlogs,MBF,Red Oak,208,25.37,250,8
2000,hancock,sawlogs,MBF,Red Pine,48,30,70,4
2000,hancock,sawlogs,MBF,Red/White Maple,117,45,250,15
2000,hancock,sawlogs,MBF,Spruce & Fir,130,36,180,49
2000,hancock,sawlogs,MBF,Sugar Maple,164,100,300,8
2000,hancock,sawlogs,MBF,White Birch,156,42.77,250,15
2000,hancock,sawlogs,MBF,White Pine,137,58.91,170,34
2000,hancock,sawlogs,MBF,Yellow Birch,130,87.4,250,4
2000,hancock,veneer,MBF,Aspen/Poplar,76,50,90,6
2000,hancock,veneer,MBF,Red Oak,373,154.69,400,4
2000,hancock,veneer,MBF,White Birch,173,122.56,350,4
2000,kennebec,boltwood,cord,Red Oak,36,25,50,4
2000,kennebec,boltwood,cord,White Birch,54,40,75,22
2000,kennebec,pulpwood,cord,Aspen/Poplar,9,2.7,30,50
2000,kennebec,pulpwood,cord,Hemlock,12,3,20.66,61
2000,kennebec,pulpwood,cord,Mixed Hardwood,9,7.86,10,6
2000,kennebec,pulpwood,cord,Mixed Softwoods,9,3.72,31.97,17
2000,kennebec,pulpwood,cord,Other Hardwood,9,3.75,22.5,103
2000,kennebec,pulpwood,cord,Other Softwoods,6,4,12,4
2000,kennebec,pulpwood,cord,Spruce & Fir,19,5,35.7,45
2000,kennebec,pulpwood,cord,White Pine,7,3.23,16.13,77
2000,kennebec,sawlogs,MBF,Ash,131,25,220,50
2000,kennebec,sawlogs,MBF,Aspen/Poplar,55,20,82.5,25
2000,kennebec,sawlogs,MBF,Beech,65,14,160,14
2000,kennebec,sawlogs,MBF,Hemlock,61,30,120,69
2000,kennebec,sawlogs,MBF,Mixed Hardwood,214,40,1000,8
2000,kennebec,sawlogs,MBF,Other Hardwood,132,25,200,7
2000,kennebec,sawlogs,MBF,Red Oak,271,29,525,60
2000,kennebec,sawlogs,MBF,Red Pine,116,30,170,9
2000,kennebec,sawlogs,MBF,Red/White Maple,89,35,337,43
2000,kennebec,sawlogs,MBF,Spruce & Fir,139,65,200,46
2000,kennebec,sawlogs,MBF,Sugar Maple,241,30,300,35
2000,kennebec,sawlogs,MBF,White Birch,151,70,250,51
2000,kennebec,sawlogs,MBF,White Oak,217,60,265,4
2000,kennebec,sawlogs,MBF,White Pine,138,50,250,113
2000,kennebec,sawlogs,MBF,Yellow Birch,133,40,250,23
2000,kennebec,veneer,MBF,Aspen/Poplar,66,50,130,14
2000,kennebec,veneer,MBF,Red Oak,618,300,1000,22
2000,kennebec,veneer,MBF,Sugar Maple,724,200,845.25,7
2000,kennebec,veneer,MBF,White Birch,369,110,654,7
2000,kennebec,veneer,MBF,Yellow Birch,406,162,645,5
2000,knox,pulpwood,cord,Aspen/Poplar,9,5,12,12
2000,knox,pulpwood,cord,Hemlock,10,5,14.4,10
2000,knox,pulpwood,cord,Other Hardwood,7,4.75,12,20
2000,knox,pulpwood,cord,Spruce & Fir,19,5.67,25,22
2000,knox,pulpwood,cord,White Pine,5,4,8,20
2000,knox,sawlogs,MBF,Ash,78,25,140,7
2000,knox,sawlogs,MBF,Hemlock,49,30,92,11
2000,knox,sawlogs,MBF,Red Oak,177,100,415,9
2000,knox,sawlogs,MBF,Red/White Maple,52,30,257.5,7
2000,knox,sawlogs,MBF,Spruce & Fir,97,50,130,18
2000,knox,sawlogs,MBF,White Birch,84,50,100,6
2000,knox,sawlogs,MBF,White Pine,129,40,175,23
2000,knox,sawlogs,MBF,Yellow Birch,112,99,151,4
2000,lincoln,pulpwood,cord,Aspen/Poplar,10,6,12,5
2000,lincoln,pulpwood,cord,Hemlock,9,5,14.4,17
2000,lincoln,pulpwood,cord,Other Hardwood,7,5,13.5,25
2000,lincoln,pulpwood,cord,Spruce & Fir,18,5.25,25,31
2000,lincoln,pulpwood,cord,White Pine,6,3,9,36
2000,lincoln,sawlogs,MBF,Aspen/Poplar,38,30,44,6
2000,lincoln,sawlogs,MBF,Hemlock,54,40,100,15
2000,lincoln,sawlogs,MBF,Red Oak,213,110,385,13
2000,lincoln,sawlogs,MBF,Red Pine,50,25,75,5
2000,lincoln,sawlogs,MBF,Red/White Maple,99,45,110,6
2000,lincoln,sawlogs,MBF,Spruce & Fir,108,75,160,25
2000,lincoln,sawlogs,MBF,White Birch,91,75,124,9
2000,lincoln,sawlogs,MBF,White Oak,198,150,425,4
2000,lincoln,sawlogs,MBF,White Pine,129,50,210,51
2000,lincoln,sawlogs,MBF,Yellow Birch,67,50,175,4
2000,lincoln,veneer,MBF,Red Oak,405,110,825,9
2000,oxford,boltwood,cord,Sugar Maple,52,25,60,5
2000,oxford,boltwood,cord,White Birch,65,35,85,32
2000,oxford,boltwood,cord,Yellow Birch,40,25,45,6
2000,oxford,pulpwood,cord,Aspen/Poplar,9,3.24,25.2,29
2000,oxford,pulpwood,cord,Hemlock,12,4.16,24,48
2000,oxford,pulpwood,cord,Mixed Softwoods,9,2.3,13.8,8
2000,oxford,pulpwood,cord,Other Hardwood,8,3,20,86
2000,oxford,pulpwood,cord,Spruce & Fir,24,7.14,28.5,24
2000,oxford,pulpwood,cord,White Pine,5,3,10.97,63
2000,oxford,sawlogs,MBF,Ash,122,60,220.75,24
2000,oxford,sawlogs,MBF,Aspen/Poplar,28,20,85,21
2000,oxford,sawlogs,MBF,Beech,49,35,80,13
2000,oxford,sawlogs,MBF,Hemlock,60,25,175,49
2000,oxford,sawlogs,MBF,Mixed Hardwood,134,35,400,32
2000,oxford,sawlogs,MBF,Red Oak,286,100,605,40
2000,oxford,sawlogs,MBF,Red Pine,40,10,100,11
2000,oxford,sawlogs,MBF,Red/White Maple,60,40,170,32
2000,oxford,sawlogs,MBF,Spruce & Fir,130,20,165,50
2000,oxford,sawlogs,MBF,Sugar Maple,211,30,400,31
2000,oxford,sawlogs,MBF,White Birch,108,40,208.18,41
2000,oxford,sawlogs,MBF,White Oak,92,40,150,6
2000,oxford,sawlogs,MBF,White Pine,170,25,275,85
2000,oxford,sawlogs,MBF,Yellow Birch,197,60,217,19
2000,oxford,veneer,MBF,Aspen/Poplar,75,50,135,15
2000,oxford,veneer,MBF,Mixed Hardwood,237,200,746.34,4
2000,oxford,veneer,MBF,Red Oak,657,195.79,1300,24
2000,oxford,veneer,MBF,Sugar Maple,434,388,825,7
2000,oxford,veneer,MBF,White Birch,436,250,520,6
2000,oxford,veneer,MBF,Yellow Birch,413,95,563.64,10
2000,penobscot,boltwood,cord,Ash,38,35,50,4
2000,penobscot,boltwood,cord,Cedar,15,8,25,31
2000,penobscot,boltwood,cord,White Birch,69,35,75,12
2000,penobscot,pulpwood,cord,Aspen/Poplar,9,2.2,25,56
2000,penobscot,pulpwood,cord,Hemlock,11,2.31,35,42
2000,penobscot,pulpwood,cord,Mixed Softwoods,36,16.93,41,4
2000,penobscot,pulpwood,cord,Other Hardwood,10,2.2,20,74
2000,penobscot,pulpwood,cord,Other Softwoods,12,2.17,21.5,7
2000,penobscot,pulpwood,cord,Spruce & Fir,25,4,45.15,79
2000,penobscot,pulpwood,cord,White Pine,8,2.17,36.55,39
2000,penobscot,sawlogs,MBF,Ash,146,90,180,19
2000,penobscot,sawlogs,MBF,Aspen/Poplar,43,30,60,16
2000,penobscot,sawlogs,MBF,Cedar,63,50,68,4
2000,penobscot,sawlogs,MBF,Hemlock,56,40,100,28
2000,penobscot,sawlogs,MBF,Mixed Hardwood,137,50,230,13
2000,penobscot,sawlogs,MBF,Red Oak,193,100,300,9
2000,penobscot,sawlogs,MBF,Red Pine,99,50,120,5
2000,penobscot,sawlogs,MBF,Red/White Maple,132,50,260,21
2000,penobscot,sawlogs,MBF,Spruce & Fir,117,50,175,49
2000,penobscot,sawlogs,MBF,Sugar Maple,265,60,300,17
2000,penobscot,sawlogs,MBF,White Birch,172,40.3,250,29
2000,penobscot,sawlogs,MBF,White Pine,148,71.7,235,56
2000,penobscot,sawlogs,MBF,Yellow Birch,170,58,250,14
2000,penobscot,veneer,MBF,Red Oak,473,150,775,10
2000,penobscot,veneer,MBF,White Birch,231,125,310,7
2000,penobscot,veneer,MBF,Yellow Birch,262,225,450,4
2000,piscataquis,boltwood,cord,Cedar,11,3.54,20.4,10
2000,piscataquis,boltwood,cord,White Birch,54,30,135,18
2000,piscataquis,pulpwood,cord,Aspen/Poplar,10,3.6,20,43
2000,piscataquis,pulpwood,cord,Hemlock,12,4.2,21,35
2000,piscataquis,pulpwood,cord,Mixed Softwoods,11,7.71,32,8
2000,piscataquis,pulpwood,cord,Other Hardwood,8,4,25,67
2000,piscataquis,pulpwood,cord,Other Softwoods,13,6.45,25,5
2000,piscataquis,pulpwood,cord,Spruce & Fir,23,6.97,45,71
2000,piscataquis,pulpwood,cord,White Pine,7,4.3,13.75,21
2000,piscataquis,sawlogs,MBF,Ash,167,50,180,18
2000,piscataquis,sawlogs,MBF,Aspen/Poplar,63,25,120,17
2000,piscataquis,sawlogs,MBF,Beech,40,25,75,12
2000,piscataquis,sawlogs,MBF,Cedar,42,25.8,82,19
2000,piscataquis,sawlogs,MBF,Hemlock,57,20,80,13
2000,piscataquis,sawlogs,MBF,Mixed Hardwood,148,40,150,23
2000,piscataquis,sawlogs,MBF,Other Hardwood,85,25,110,5
2000,piscataquis,sawlogs,MBF,Red Oak,110,100,150,4
2000,piscataquis,sawlogs,MBF,Red Pine,55,40,85,4
2000,piscataquis,sawlogs,MBF,Red/White Maple,62,25,190,33
2000,piscataquis,sawlogs,MBF,Spruce & Fir,148,50,179,66
2000,piscataquis,sawlogs,MBF,Sugar Maple,171,70,340,30
2000,piscataquis,sawlogs,MBF,White Birch,127,60,250,22
2000,piscataquis,sawlogs,MBF,White Pine,133,50,185,44
2000,piscataquis,sawlogs,MBF,Yellow Birch,152,60,250,27
2000,piscataquis,veneer,MBF,Aspen/Poplar,65,40,105,18
2000,piscataquis,veneer,MBF,Sugar Maple,413,200,709,5
2000,piscataquis,veneer,MBF,White Birch,236,125,430,7
2000,piscataquis,veneer,MBF,Yellow Birch,285,180,430,10
2000,sagadahoc,pulpwood,cord,Aspen/Poplar,7,4.5,10.89,4
2000,sagadahoc,pulpwood,cord,Hemlock,9,4.8,10,5
2000,sagadahoc,pulpwood,cord,Other Hardwood,8,5,10,8
2000,sagadahoc,pulpwood,cord,Spruce & Fir,8,5,15,5
2000,sagadahoc,pulpwood,cord,White Pine,6,4.3,8,17
2000,sagadahoc,sawlogs,MBF,Ash,133,70,137.5,4
2000,sagadahoc,sawlogs,MBF,Hemlock,53,40,60,8
2000,sagadahoc,sawlogs,MBF,Red Oak,270,200,300,8
2000,sagadahoc,sawlogs,MBF,Red/White Maple,74,30,130,5
2000,sagadahoc,sawlogs,MBF,Spruce & Fir,110,70,135,8
2000,sagadahoc,sawlogs,MBF,White Pine,121,60,170,22
2000,somerset,boltwood,cord,Cedar,39,6,54.68,16
2000,somerset,boltwood,cord,White Birch,64,25,91.95,21
2000,somerset,pulpwood,cord,Aspen/Poplar,10,6.75,20,40
2000,somerset,pulpwood,cord,Hemlock,13,5,22.8,32
2000,somerset,pulpwood,cord,Mixed Hardwood,9,4.05,13.37,5
2000,somerset,pulpwood,cord,Other Hardwood,9,5,16.25,74
2000,somerset,pulpwood,cord,Spruce & Fir,34,9.22,55.45,76
2000,somerset,pulpwood,cord,White Pine,6,4.3,11.18,31
2000,somerset,sawlogs,MBF,Ash,136,75,194.65,27
2000,somerset,sawlogs,MBF,Aspen/Poplar,59,30,90,31
2000,somerset,sawlogs,MBF,Beech,92,35,125.89,11
2000,somerset,sawlogs,MBF,Hemlock,62,30,85,27
2000,somerset,sawlogs,MBF,Mixed Hardwood,225,37.49,307.5,18
2000,somerset,sawlogs,MBF,Other Hardwood,129,45,200,6
2000,somerset,sawlogs,MBF,Other Softwoods,128,50,140,4
2000,somerset,sawlogs,MBF,Red Oak,354,200,500,6
2000,somerset,sawlogs,MBF,Red Pine,45,30,70,5
2000,somerset,sawlogs,MBF,Red/White Maple,99,40,479.51,29
2000,somerset,sawlogs,MBF,Spruce & Fir,169,65,203.5,63
2000,somerset,sawlogs,MBF,Sugar Maple,258,70,300,28
2000,somerset,sawlogs,MBF,White Birch,185,45,277.5,38
2000,somerset,sawlogs,MBF,White Pine,125,40,270,64
2000,somerset,sawlogs,MBF,Yellow Birch,175,45,211.68,25
2000,somerset,veneer,MBF,Aspen/Poplar,80,50,110,12
2000,somerset,veneer,MBF,Mixed Hardwood,719,140,842.27,5
2000,somerset,veneer,MBF,Sugar Maple,894,406,997.75,4
2000,somerset,veneer,MBF,White Birch,562,125,713.15,13
2000,somerset,veneer,MBF,Yellow Birch,469,200,777.37,8
2000,waldo,boltwood,cord,Cedar,10,5,16.6,5
2000,waldo,boltwood,cord,White Birch,47,30,65,8
2000,waldo,pulpwood,cord,Aspen/Poplar,8,4.32,20,22
2000,waldo,pulpwood,cord,Hemlock,13,5,22,27
2000,waldo,pulpwood,cord,Mixed Hardwood,10,7,25.7,8
2000,waldo,pulpwood,cord,Mixed Softwoods,17,10,25.3,4
2000,waldo,pulpwood,cord,Other Hardwood,10,5,20,31
2000,waldo,pulpwood,cord,Spruce & Fir,22,13.86,40,44
2000,waldo,pulpwood,cord,White Pine,7,4.3,11,24
2000,waldo,sawlogs,MBF,Ash,148,50,185,12
2000,waldo,sawlogs,MBF,Aspen/Poplar,77,40,100,13
2000,waldo,sawlogs,MBF,Hemlock,66,35,160,17
2000,waldo,sawlogs,MBF,Other Hardwood,99,50,250,6
2000,waldo,sawlogs,MBF,Red Oak,248,65,500,11
2000,waldo,sawlogs,MBF,Red/White Maple,97,50,175,9
2000,waldo,sawlogs,MBF,Spruce & Fir,132,80,160,28
2000,waldo,sawlogs,MBF,Sugar Maple,184,55,267,5
2000,waldo,sawlogs,MBF,White Birch,119,40,275,21
2000,waldo,sawlogs,MBF,White Pine,141,34.5,219,49
2000,waldo,sawlogs,MBF,Yellow Birch,107,80,140,4
2000,waldo,veneer,MBF,Red Oak,507,371.2,800,7
2000,washington,boltwood,cord,Cedar,12,2,20,16
2000,washington,boltwood,cord,White Birch,32,23.5,56.67,10
2000,washington,boltwood,cord,Yellow Birch,38,30,45,4
2000,washington,pulpwood,cord,Aspen/Poplar,9,7.2,16,16
2000,washington,pulpwood,cord,Hemlock,11,9.6,21,14
2000,washington,pulpwood,cord,Other Hardwood,10,4.58,15,38
2000,washington,pulpwood,cord,Other Softwoods,9,8,11,5
2000,washington,pulpwood,cord,Spruce & Fir,26,15,40,41
2000,washington,sawlogs,MBF,Ash,138,76,180,6
2000,washington,sawlogs,MBF,Aspen/Poplar,42,24,80,4
2000,washington,sawlogs,MBF,Hemlock,52,45,65.66,5
2000,washington,sawlogs,MBF,Red/White Maple,100,63,150,8
2000,washington,sawlogs,MBF,Spruce & Fir,127,80,140,23
2000,washington,sawlogs,MBF,Sugar Maple,170,90,300,6
2000,washington,sawlogs,MBF,White Birch,176,54,250,8
2000,washington,sawlogs,MBF,White Pine,136,85,180,18
2000,washington,sawlogs,MBF,Yellow Birch,110,80,250,8
2000,washington,veneer,MBF,White Birch,149,94.5,250,4
2000,washington,veneer,MBF,Yellow Birch,131,115,300,4
2000,york,pulpwood,cord,Aspen/Poplar,7,4.95,18,5
2000,york,pulpwood,cord,Hemlock,8,2.64,19.2,31
2000,york,pulpwood,cord,Mixed Hardwood,3,2.7,9.53,5
2000,york,pulpwood,cord,Mixed Softwoods,5,2.3,8.05,7
2000,york,pulpwood,cord,Other Hardwood,6,1.88,30,71
2000,york,pulpwood,cord,Spruce & Fir,6,3.15,12.6,4
2000,york,pulpwood,cord,White Pine,5,2,12.9,85
2000,york,sawlogs,MBF,Ash,130,40,300,26
2000,york,sawlogs,MBF,Aspen/Poplar,43,25,165,6
2000,york,sawlogs,MBF,Beech,57,39.7,72,9
2000,york,sawlogs,MBF,Hemlock,51,25,150,59
2000,york,sawlogs,MBF,Mixed Hardwood,187,30,450,14
2000,york,sawlogs,MBF,Other Hardwood,221,20,252,10
2000,york,sawlogs,MBF,Other Softwoods,127,30,150,4
2000,york,sawlogs,MBF,Red Oak,310,75,660,89
2000,york,sawlogs,MBF,Red Pine,43,30,90,10
2000,york,sawlogs,MBF,Red/White Maple,68,30,200,28
2000,york,sawlogs,MBF,Spruce & Fir,109,30,173,25
2000,york,sawlogs,MBF,Sugar Maple,195,65,325,15
2000,york,sawlogs,MBF,White Birch,117,40,250,38
2000,york,sawlogs,MBF,White Oak,111,40,325,19
2000,york,sawlogs,MBF,White Pine,171,45,271,122
2000,york,sawlogs,MBF,Yellow Birch,91,60,150,11
2000,york,veneer,MBF,Red Oak,831,150,1450,49
2001,Androscoggin,boltwood,cord,White Birch,45,35,60,7
2001,Androscoggin,pulpwood,cord,Aspen/Poplar,8,4.81,15,15
2001,Androscoggin,pulpwood,cord,Hemlock,10,6,20,21
2001,Androscoggin,pulpwood,cord,Mixed Hardwood,9,2.5,13.83,36
2001,Androscoggin,pulpwood,cord,Spruce & Fir,10,7.35,16,8
2001,Androscoggin,pulpwood,cord,White Pine,7,2.15,29,38
2001,Androscoggin,sawlogs,MBF,Ash,133,61.16,150,9
2001,Androscoggin,sawlogs,MBF,Aspen/Poplar,33,30,65,5
2001,Androscoggin,sawlogs,MBF,Hemlock,55,35,80,13
2001,Androscoggin,sawlogs,MBF,Mixed Hardwood,144,50,240,12
2001,Androscoggin,sawlogs,MBF,Red Oak,268,75,426.31,22
2001,Androscoggin,sawlogs,MBF,Red/White Maple,81,45,250,13
2001,Androscoggin,sawlogs,MBF,Spruce & Fir,110,75,150,11
2001,Androscoggin,sawlogs,MBF,Sugar Maple,98,25,390,6
2001,Androscoggin,sawlogs,MBF,White Birch,115,25,375.14,10
2001,Androscoggin,sawlogs,MBF,White Pine,147,25,210,42
2001,Androscoggin,veneer,MBF,Red Oak,712,375,790.64,7
2001,Aroostook,boltwood,cord,Aspen/Poplar,14,11,15,7
2001,Aroostook,boltwood,cord,Cedar,22,12,35,17
2001,Aroostook,boltwood,cord,White Birch,46,25,60,4
2001,Aroostook,pulpwood,cord,Aspen/Poplar,14,5.5,25,53
2001,Aroostook,pulpwood,cord,Hemlock,10,7.49,18.77,14
2001,Aroostook,pulpwood,cord,Mixed Hardwood,9,4,17.7,47
2001,Aroostook,pulpwood,cord,Mixed Soft/Hard Wood,14,7,28.76,4
2001,Aroostook,pulpwood,cord,Other Softwoods,8,6,12,8
2001,Aroostook,pulpwood,cord,Spruce & Fir,36,18.3,60,35
2001,Aroostook,sawlogs,MBF,Ash,96,70,171.35,6
2001,Aroostook,sawlogs,MBF,Aspen/Poplar,30,30,84,7
2001,Aroostook,sawlogs,MBF,Beech,45,25,75,7
2001,Aroostook,sawlogs,MBF,Cedar,89,24,97,13
2001,Aroostook,sawlogs,MBF,Hemlock,40,38,70,4
2001,Aroostook,sawlogs,MBF,Mixed Hardwood,194,75,200,20
2001,Aroostook,sawlogs,MBF,Other Softwoods,42,35,48,4
2001,Aroostook,sawlogs,MBF,Red/White Maple,39,25,90,10
2001,Aroostook,sawlogs,MBF,Spruce & Fir,128,35,175,44
2001,Aroostook,sawlogs,MBF,Sugar Maple,141,70,203.18,15
2001,Aroostook,sawlogs,MBF,White Birch,122,90,150,8
2001,Aroostook,sawlogs,MBF,White Pine,107,26.25,150,13
2001,Aroostook,sawlogs,MBF,Yellow Birch,115,67,160,12
2001,Aroostook,veneer,MBF,Yellow Birch,290,175,495.04,8
2001,Cumberland,boltwood,cord,White Birch,41,30,65,4
2001,Cumberland,pulpwood,cord,Aspen/Poplar,5,1.8,16.2,13
2001,Cumberland,pulpwood,cord,Hemlock,11,3,20,42
2001,Cumberland,pulpwood,cord,Mixed Hardwood,7,2.5,12.25,67
2001,Cumberland,pulpwood,cord,Mixed Softwoods,7,4.6,7.71,8
2001,Cumberland,pulpwood,cord,Other Softwoods,3,2.15,12.5,4
2001,Cumberland,pulpwood,cord,Spruce & Fir,11,6,16.8,11
2001,Cumberland,pulpwood,cord,White Pine,7,2,10.75,76
2001,Cumberland,sawlogs,MBF,Ash,86,20,295,26
2001,Cumberland,sawlogs,MBF,Aspen/Poplar,52,40,71.73,7
2001,Cumberland,sawlogs,MBF,Beech,43,15,66.02,12
2001,Cumberland,sawlogs,MBF,Hemlock,55,30,120,59
2001,Cumberland,sawlogs,MBF,Mixed Hardwood,97,30,120,10
2001,Cumberland,sawlogs,MBF,Other Hardwood,93,25,225,6
2001,Cumberland,sawlogs,MBF,Other Softwoods,83,40,120,4
2001,Cumberland,sawlogs,MBF,Red Oak,292,32,650,65
2001,Cumberland,sawlogs,MBF,Red Pine,44,25,64.62,16
